Year,Section,Population,Deployed_Amount,Crime_Amount,Crime_Rate
2019,bedfordshire,1164470,2518,67176,0.05768804692263433
2019,cambridgeshire,1343607,2783,81878,0.0609389501543234
2019,cheshire,1207423,4182,105543,0.0874117852649817
2019,city-of-london,170289,1280,9356,0.054941892899717536
2019,cleveland,574590,1881,98597,0.17159539845803096
2019,cumbria,731459,2098,45817,0.06263782385615599
2019,derbyshire,2285719,3696,111664,0.048852899240895316
2019,dorset,854003,2873,71155,0.08331937944011907
2019,durham,1092023,2313,80905,0.07408726739271974
2019,dyfed-powys,648555,2190,41096,0.06336548172475734
2019,essex,2819626,6118,209030,0.07413394542396758
2019,gloucestershire,688871,2418,54082,0.07850816771209704
2019,greater-manchester,2859401,11485,193263,0.0675886313252321
2019,gwent,1222137,2198,59674,0.04882758643261762
2019,hampshire,2359033,5484,163482,0.06930042945562864
2019,hertfordshire,2435344,4356,112423,0.04616308825365123
2019,humberside,957196,3748,109149,0.11402993744227932
2019,kent,2358133,7053,217915,0.09240997009074552
2019,lancashire,2198607,5874,182689,0.08309306756505369
2019,leicestershire,1222401,4097,98055,0.08021508490258107
2019,lincolnshire,960122,1937,74085,0.07716206898706622
2019,merseyside,1477105,6082,163246,0.11051753260600973
2019,norfolk,1498861,3218,69942,0.046663433100200755
2019,north-wales,723231,3061,72412,0.10012292061595811
2019,north-yorkshire,983035,3264,69552,0.0707523129898732
2019,northamptonshire,1305215,2640,79793,0.06113398941936769
2019,northumbria,1486189,5179,198298,0.13342717514394198
2019,nottinghamshire,1946201,3709,138535,0.07118226740197955
2019,south-wales,1617767,5782,138838,0.08582076405316712
2019,south-yorkshire,1677746,5223,171790,0.10239333009883499
2019,staffordshire,1240693,3470,98930,0.07973769498175616
2019,suffolk,1320205,2468,56803,0.043025893705901735
2019,surrey,1616891,4016,97550,0.06033183436607663
2019,sussex,2192655,5383,155887,0.07109508791852799
2019,thames-valley,2423260,8809,176634,0.07289106410372803
2019,warwickshire,1118285,1790,53989,0.04827839057127655
2019,west-mercia,1985415,4223,127188,0.06406116605344475
2019,west-midlands,3255816,10937,296172,0.09096705710642125
2019,west-yorkshire,2411527,10341,328555,0.13624355024845253
2019,wiltshire,840407,2523,60433,0.07190920589666673
2020,avon-and-somerset,2239302,6473,152544,0.06812122706093238
2020,bedfordshire,1224876,2565,63913,0.052179159359804585
2020,cambridgeshire,1458313,2851,77646,0.05324371379806667
2020,cheshire,1355519,4193,105861,0.07809628636706678
2020,city-of-london,132940,1314,5380,0.04046938468482022
2020,cleveland,581820,2148,97827,0.1681396308136537
2020,cumbria,775666,2178,43535,0.0561259614318534
