,Year,Geo_Code,Force_Name,Deployed_Amount
319,2017,E23000019,Nottinghamshire,3477
320,2017,E23000020,Lincolnshire,1709
321,2017,E23000021,Leicestershire,3807
322,2017,E23000022,Northamptonshire,2618
323,2017,E23000023,Cambridgeshire,2587
324,2017,E23000024,Norfolk,3147
325,2017,E23000025,Suffolk,2363
326,2017,E23000026,Bedfordshire,2289
327,2017,E23000027,Hertfordshire,3793
328,2017,E23000028,Essex,5501
329,2017,E23000029,Thames Valley,8149
330,2017,E23000030,Hampshire,5632
331,2017,E23000031,Surrey,3958
332,2017,E23000032,Kent,6174
333,2017,E23000033,Sussex,5176
334,2017,E23000034,"London, City of",1181
335,2017,E23000035,Devon & Cornwall,5417
336,2017,E23000036,Avon & Somerset,5736
337,2017,E23000037,Gloucestershire,2061
338,2017,E23000038,Wiltshire,2221
339,2017,E23000039,Dorset,2805
340,2017,W15000001,North Wales,2842
341,2017,W15000002,Gwent,1988
342,2017,W15000003,South Wales,5283
343,2017,W15000004,Dyfed-Powys,2174
344,2018,E23000001,Metropolitan Police,44690
345,2018,E23000002,Cumbria,2052
346,2018,E23000003,Lancashire,6000
347,2018,E23000004,Merseyside,5980
348,2018,E23000005,Greater Manchester,11237
349,2018,E23000006,Cheshire,4137
350,2018,E23000007,Northumbria,5311
351,2018,E23000008,Durham,2392
352,2018,E23000009,North Yorkshire,3183
353,2018,E23000010,West Yorkshire,10163
354,2018,E23000011,South Yorkshire,5297
355,2018,E23000012,Humberside,3662
356,2018,E23000013,Cleveland,1849
357,2018,E23000014,West Midlands,11138
358,2018,E23000015,Staffordshire,3608
359,2018,E23000016,West Mercia,4287
360,2018,E23000017,Warwickshire,1856
361,2018,E23000018,Derbyshire,3695
362,2018,E23000019,Nottinghamshire,3742
363,2018,E23000020,Lincolnshire,2003
364,2018,E23000021,Leicestershire,4117
365,2018,E23000022,Northamptonshire,2618
366,2018,E23000023,Cambridgeshire,2735
367,2018,E23000024,Norfolk,3207
368,2018,E23000025,Suffolk,2501
369,2018,E23000026,Bedfordshire,2427
370,2018,E23000027,Hertfordshire,4153
371,2018,E23000028,Essex,5903
372,2018,E23000029,Thames Valley,8662
373,2018,E23000030,Hampshire,6086
374,2018,E23000031,Surrey,4129
375,2018,E23000032,Kent,6746
376,2018,E23000033,Sussex,5170
377,2018,E23000034,"London, City of",1244
378,2018,E23000035,Devon & Cornwall,5678
379,2018,E23000036,Avon & Somerset,6206
380,2018,E23000037,Gloucestershire,2258
381,2018,E23000038,Wiltshire,2472
382,2018,E23000039,Dorset,2950
383,2018,W15000001,North Wales,3095
384,2018,W15000002,Gwent,2085
385,2018,W15000003,South Wales,5737
386,2018,W15000004,Dyfed-Powys,2211
387,2019,E23000001,Metropolitan Police,44596
388,2019,E23000002,Cumbria,2098
389,2019,E23000003,Lancashire,5874
390,2019,E23000004,Merseyside,6082
391,2019,E23000005,Greater Manchester,11485
392,2019,E23000006,Cheshire,4182
393,2019,E23000007,Northumbria,5179
394,2019,E23000008,Durham,2313
395,2019,E23000009,North Yorkshire,3264
396,2019,E23000010,West Yorkshire,10341
397,2019,E23000011,South Yorkshire,5223
398,2019,E23000012,Humberside,3748
399,2019,E23000013,Cleveland,1881
400,2019,E23000014,West Midlands,10937
401,2019,E23000015,Staffordshire,3470
402,2019,E23000016,West Mercia,4223
403,2019,E23000017,Warwickshire,1790
404,2019,E23000018,Derbyshire,3696
405,2019,E23000019,Nottinghamshire,3709
406,2019,E23000020,Lincolnshire,1937
407,2019,E23000021,Leicestershire,4097
408,2019,E23000022,Northamptonshire,2640
409,2019,E23000023,Cambridgeshire,2783
