Year,Month,Section,Amount
2011,10,dyfed-powys,3813
2011,10,essex,13926
2011,10,gloucestershire,5486
2011,10,greater-manchester,29963
2011,10,gwent,6178
2011,10,hampshire,18287
2011,10,hertfordshire,9638
2011,10,humberside,8014
2011,10,kent,14277
2011,10,lancashire,16979
2011,10,leicestershire,8843
2011,10,lincolnshire,6354
2011,10,merseyside,14057
2011,10,metropolitan,101354
2011,10,norfolk,6579
2011,10,north-wales,6309
2011,10,north-yorkshire,6860
2011,10,northamptonshire,7407
2011,10,northern-ireland,14537
2011,10,northumbria,15151
2011,10,nottinghamshire,11915
2011,10,south-wales,13171
2011,10,south-yorkshire,18712
2011,10,staffordshire,8025
2011,10,suffolk,6505
2011,10,surrey,10038
2011,10,sussex,14867
2011,10,thames-valley,16900
2011,10,warwickshire,4681
2011,10,west-mercia,11599
2011,10,west-midlands,24289
2011,10,west-yorkshire,23175
2011,10,wiltshire,5510
2011,11,avon-and-somerset,14467
2011,11,bedfordshire,5809
2011,11,btp,4585
2011,11,cambridgeshire,6525
2011,11,cheshire,8454
2011,11,city-of-london,662
2011,11,cleveland,7444
2011,11,cumbria,4271
2011,11,derbyshire,9184
2011,11,devon-and-cornwall,11000
2011,11,dorset,6635
2011,11,durham,6124
2011,11,dyfed-powys,3271
2011,11,essex,12522
2011,11,gloucestershire,4990
2011,11,greater-manchester,27781
2011,11,gwent,5477
2011,11,hampshire,16261
2011,11,hertfordshire,8791
2011,11,humberside,7594
2011,11,kent,12408
2011,11,lancashire,14870
2011,11,leicestershire,7607
2011,11,lincolnshire,6164
2011,11,merseyside,12336
2011,11,metropolitan,95642
2011,11,norfolk,5743
2011,11,north-wales,5921
2011,11,north-yorkshire,6107
2011,11,northamptonshire,6574
2011,11,northern-ireland,13396
2011,11,northumbria,14094
2011,11,nottinghamshire,10265
2011,11,south-wales,11864
2011,11,south-yorkshire,17128
2011,11,staffordshire,7398
2011,11,suffolk,6024
2011,11,surrey,8944
2011,11,sussex,13366
2011,11,thames-valley,15107
2011,11,warwickshire,4346
2011,11,west-mercia,9890
2011,11,west-midlands,22605
2011,11,west-yorkshire,22405
2011,11,wiltshire,5283
